id,strCommunication,strOperation,strData,fTime,iOffset,iNumData,bResult
0,TCP0,TX,YACmOMhMfmfzz9pdvVOPf DyPKhW3FvI12xHhazh 3IoGUWITyOZzaslmxmmJ1toNkUFWvcqHN1aRVWtAAxlvLNlVksYlvVSsliL,0.14585447311401367,1,100,
1,TCP0,RX,ZBDnPNiNgngAA qewWPQgaEzQLiX4GwJ23yIibAia4JpHVXJUzP0AbtmnynnK2upOlVGXwdrIO2bSWXuBBymwMOmWltZmwWTtmjM,0.20930027961730957,1,100,True
2,Serial1,TX,ZBDnPNiNgngAA qewWPQgaEzQLiX4GwJ23yIibAia4JpHVXJUzP0AbtmnynnK2upOlVGXwdrIO2bSWXuBBymwMOmWltZmwWTtmjM,0.22528529167175293,1,100,
3,Serial1,RX,0CEoQOjOhohBBarfxXQRhbFARMjY5HxK34zJjcBjb5KqIWYKVAQ1BcunozooL3vqPmWHYxesJP3cTXYvCCznxNPnXmu0nxXUunkN,0.3052222728729248,1,100,True
4,TCP0,TX,0CEoQOjOhohBBarfxXQRhbFARMjY5HxK34zJjcBjb5KqIWYKVAQ1BcunozooL3vqPmWHYxesJP3cTXYvCCznxNPnXmu0nxXUunkN,0.32120680809020996,1,100,
5,TCP0,RX,1DFpRPkPipiCCbsgyYRSicGBSNkZ6IyL45AKkdCkc6LrJXZLWBR2CdvopAppM4wrQnXIZyftKQ4dUYZwDDAoyOQoYnv1oyYVvolO,0.3851454257965088,1,100,True
6,Serial1,TX,1DFpRPkPipiCCbsgyYRSicGBSNkZ6IyL45AKkdCkc6LrJXZLWBR2CdvopAppM4wrQnXIZyftKQ4dUYZwDDAoyOQoYnv1oyYVvolO,0.40113234519958496,1,100,
7,Serial1,RX,2EGqSQlQjqjDDcthzZSTjdHCTOl07JzM56BLleDld7MsKY0MXCS3DewpqBqqN5xsRoYJ0zguLR5eVZ0xEEBpzPRpZow2pzZWwpmP,0.4970409870147705,1,100,True
8,TCP0,TX,2EGqSQlQjqjDDcthzZSTjdHCTOl07JzM56BLleDld7MsKY0MXCS3DewpqBqqN5xsRoYJ0zguLR5eVZ0xEEBpzPRpZow2pzZWwpmP,0.5130259990692139,1,100,
9,TCP0,RX,3FHrTRmRkrkEEduiA0TUkeIDUPm18KAN67CMmfEme8NtLZ1NYDT4EfxqrCrrO6ytSpZK1AhvMS6fW01yFFCqAQSq0px3qA0XxqnQ,0.5769665241241455,1,100,True
10,Serial1,TX,3FHrTRmRkrkEEduiA0TUkeIDUPm18KAN67CMmfEme8NtLZ1NYDT4EfxqrCrrO6ytSpZK1AhvMS6fW01yFFCqAQSq0px3qA0XxqnQ,0.5929512977600098,1,100,
11,Serial1,RX,4GIsUSnSlslFFevjB1UVlfJEVQn29LBO78DNngFnf9OuM02OZEU5FgyrsDssP7zuTq0L2BiwNT7gX12zGGDrBRTr1qy4rB1YyroR,0.6878631114959717,1,100,True
12,TCP0,TX,4GIsUSnSlslFFevjB1UVlfJEVQn29LBO78DNngFnf9OuM02OZEU5FgyrsDssP7zuTq0L2BiwNT7gX12zGGDrBRTr1qy4rB1YyroR,0.7028501033782959,1,100,
