id,strCommunication,strOperation,strData,fTime,iOffset,iNumData,bResult
0,Serial0,TX,aKJtdIQwA0arh6Nm6NVhIv9HUmWkEN1X7kjmEjeB3pc4XBClfoDXW1xBc0KidpiVyheamKMjVPdAw3pkpRvMfU61tFI3jVxaeKR9,0.11688756942749023,1,100,
1,Serial0,RX,bLKueJRxB1bsi7On7OWiJw IVnXlFO2Y8lknFkfC4qd5YCDmgpEYX2yCd1LjeqjWzifbnLNkWQeBx4qlqSwNgV72uGJ4kWybfLS ,0.19681453704833984,1,100,True
2,Serial1,TX,bLKueJRxB1bsi7On7OWiJw IVnXlFO2Y8lknFkfC4qd5YCDmgpEYX2yCd1LjeqjWzifbnLNkWQeBx4qlqSwNgV72uGJ4kWybfLS ,0.21280217170715332,1,100,
3,Serial1,RX,cMLvfKSyC2ctj8Po8PXjKxaJWoYmGP3Z9mloGlgD5re6ZDEnhqFZY3zDe2MkfrkXAjgcoMOlXRfCy5rmrTxOhW83vHK5lXzcgMTa,0.2927279472351074,1,100,True
4,Serial0,TX,cMLvfKSyC2ctj8Po8PXjKxaJWoYmGP3Z9mloGlgD5re6ZDEnhqFZY3zDe2MkfrkXAjgcoMOlXRfCy5rmrTxOhW83vHK5lXzcgMTa,0.3087120056152344,1,100,
5,Serial0,RX,dNMwgLTzD3duk9Qp9QYkLybKXpZnHQ40 nmpHmhE6sf70EFoirG0Z4AEf3NlgslYBkhdpNPmYSgDz6snsUyPiX94wIL6mYAdhNUb,0.4026217460632324,1,100,True
6,Serial1,TX,dNMwgLTzD3duk9Qp9QYkLybKXpZnHQ40 nmpHmhE6sf70EFoirG0Z4AEf3NlgslYBkhdpNPmYSgDz6snsUyPiX94wIL6mYAdhNUb,0.4186089038848877,1,100,
7,Serial1,RX,eONxhMUAE4evl Rq RZlMzcLYq0oIR51aonqIniF7tg81FGpjsH105BFg4OmhtmZClieqOQnZThEA7totVzQjY 5xJM7nZBeiOVc,0.4965343475341797,1,100,True
8,Serial0,TX,eONxhMUAE4evl Rq RZlMzcLYq0oIR51aonqIniF7tg81FGpjsH105BFg4OmhtmZClieqOQnZThEA7totVzQjY 5xJM7nZBeiOVc,0.5125234127044678,1,100,
9,Serial0,RX,fPOyiNVBF5fwmaSraS0mNAdMZr1pJS62bporJojG8uh92GHqktI216CGh5Pniun0DmjfrPRo0UiFB8upuWARkZa6yKN8o0CfjPWd,0.5924479961395264,1,100,True
10,Serial1,TX,fPOyiNVBF5fwmaSraS0mNAdMZr1pJS62bporJojG8uh92GHqktI216CGh5Pniun0DmjfrPRo0UiFB8upuWARkZa6yKN8o0CfjPWd,0.6084327697753906,1,100,
11,Serial1,RX,gQPzjOWCG6gxnbTsbT1nOBeN0s2qKT73cqpsKpkH9vi 3HIrluJ327DHi6Qojvo1EnkgsQSp1VjGC9vqvXBSl0b7zLO9p1DgkQXe,0.6883594989776611,1,100,True
12,Serial0,TX,gQPzjOWCG6gxnbTsbT1nOBeN0s2qKT73cqpsKpkH9vi 3HIrluJ327DHi6Qojvo1EnkgsQSp1VjGC9vqvXBSl0b7zLO9p1DgkQXe,0.704343318939209,1,100,
13,Serial0,RX,hRQAkPXDH7hyocUtcU2oPCfO1t3rLU84drqtLqlI wja4IJsmvK438EIj7Rpkwp2FolhtRTq2WkHD wrwYCTm1c8AMP q2EhlRYf,0.800255537033081,1,100,True
14,Serial1,TX,hRQAkPXDH7hyocUtcU2oPCfO1t3rLU84drqtLqlI wja4IJsmvK438EIj7Rpkwp2FolhtRTq2WkHD wrwYCTm1c8AMP q2EhlRYf,0.8162405490875244,1,100,
15,Serial1,RX,iSRBlQYEI8izpdVudV3pQDgP2u4sMV95esruMrmJaxkb5JKtnwL549FJk8Sqlxq3GpmiuSUr3XlIEaxsxZDUn2d9BNQar3FimSZg,0.9121475219726562,1,100,True
16,Serial0,TX,iSRBlQYEI8izpdVudV3pQDgP2u4sMV95esruMrmJaxkb5JKtnwL549FJk8Sqlxq3GpmiuSUr3XlIEaxsxZDUn2d9BNQar3FimSZg,0.9281322956085205,1,100,
17,Serial0,RX,jTSCmRZFJ9jAqeWveW4qREhQ3v5tNW 6ftsvNsnKbylc6KLuoxM65 GKl9Trmyr4HqnjvTVs4YmJFbyty0EVo3e CORbs4GjnT0h,1.008059024810791,1,100,True
18,Serial1,TX,jTSCmRZFJ9jAqeWveW4qREhQ3v5tNW 6ftsvNsnKbylc6KLuoxM65 GKl9Trmyr4HqnjvTVs4YmJFbyty0EVo3e CORbs4GjnT0h,1.0230460166931152,1,100,
19,Serial1,RX,kUTDnS0GK kBrfXwfX5rSFiR4w6uOXa7gutwOtoLczmd7LMvpyN76aHLm Usnzs5IrokwUWt5ZnKGczuz1FWp4faDPSct5HkoU1i,1.117957353591919,1,100,True
20,Serial0,TX,kUTDnS0GK kBrfXwfX5rSFiR4w6uOXa7gutwOtoLczmd7LMvpyN76aHLm Usnzs5IrokwUWt5ZnKGczuz1FWp4faDPSct5HkoU1i,1.133941411972046,1,100,
21,Serial0,RX,lVUEoT1HLalCsgYxgY6sTGjS5x7vPYb8hvuxPupMdAne8MNwqzO87bIMnaVtoAt6JsplxVXu60oLHdAvA2GXq5gbEQTdu6IlpV2j,1.2138676643371582,1,100,True
22,Serial1,TX,lVUEoT1HLalCsgYxgY6sTGjS5x7vPYb8hvuxPupMdAne8MNwqzO87bIMnaVtoAt6JsplxVXu60oLHdAvA2GXq5gbEQTdu6IlpV2j,1.2298541069030762,1,100,
23,Serial1,RX,mWVFpU2IMbmDthZyhZ7tUHkT6y8wQZc9iwvyQvqNeBof9NOxrAP98cJNobWupBu7KtqmyWYv71pMIeBwB3HYr6hcFRUev7JmqW3k,1.3417510986328125,1,100,True
24,Serial0,TX,mWVFpU2IMbmDthZyhZ7tUHkT6y8wQZc9iwvyQvqNeBof9NOxrAP98cJNobWupBu7KtqmyWYv71pMIeBwB3HYr6hcFRUev7JmqW3k,1.357736587524414,1,100,
25,Serial0,RX,nXWGqV3JNcnEui0zi08uVIlU7z9xR0d jxwzRwrOfCpg OPysBQ 9dKOpcXvqCv8LurnzXZw82qNJfCxC4IZs7idGSVfw8KnrX4l,1.4366605281829834,1,100,True
26,Serial1,TX,nXWGqV3JNcnEui0zi08uVIlU7z9xR0d jxwzRwrOfCpg OPysBQ 9dKOpcXvqCv8LurnzXZw82qNJfCxC4IZs7idGSVfw8KnrX4l,1.451648235321045,1,100,
27,Serial1,RX,oYXHrW4KOdoFvj1Aj19vWJmV8A yS1eakyxASxsPgDqhaPQztCRa eLPqdYwrDw9MvsoAY0x93rOKgDyD5J0t8jeHTWgx9LosY5m,1.5425615310668945,1,100,True
28,Serial0,TX,oYXHrW4KOdoFvj1Aj19vWJmV8A yS1eakyxASxsPgDqhaPQztCRa eLPqdYwrDw9MvsoAY0x93rOKgDyD5J0t8jeHTWgx9LosY5m,1.5585458278656006,1,100,
29,Serial0,RX,pZYIsX5LPepGwk2Bk2 wXKnW9BazT2fblzyBTytQhEribQRAuDSbafMQreZxsEx NwtpBZ1y 4sPLhEzE6K1u9kfIUXhy MptZ6n,1.638474702835083,1,100,True
30,Serial1,TX,pZYIsX5LPepGwk2Bk2 wXKnW9BazT2fblzyBTytQhEribQRAuDSbafMQreZxsEx NwtpBZ1y 4sPLhEzE6K1u9kfIUXhy MptZ6n,1.6544570922851562,1,100,
31,Serial1,RX,q0ZJtY6MQfqHxl3Cl3axYLoX CbAU3gcmAzCUzuRiFsjcRSBvETcbgNRsf0ytFyaOxuqC02za5tQMiFAF7L2v lgJVYizaNqu07o,1.748373031616211,1,100,True
32,Serial0,TX,q0ZJtY6MQfqHxl3Cl3axYLoX CbAU3gcmAzCUzuRiFsjcRSBvETcbgNRsf0ytFyaOxuqC02za5tQMiFAF7L2v lgJVYizaNqu07o,1.7643561363220215,1,100,
33,Serial0,RX,r10KuZ7NRgrIym4Dm4byZMpYaDcBV4hdnBADVAvSjGtkdSTCwFUdchOStg1zuGzbPyvrD13Ab6uRNjGBG8M3wamhKWZjAbOrv18p,1.8582665920257568,1,100,True
34,Serial1,TX,r10KuZ7NRgrIym4Dm4byZMpYaDcBV4hdnBADVAvSjGtkdSTCwFUdchOStg1zuGzbPyvrD13Ab6uRNjGBG8M3wamhKWZjAbOrv18p,1.8742547035217285,1,100,
35,Serial1,RX,s21Lv08OShsJzn5En5cz0NqZbEdCW5ieoCBEWBwTkHuleTUDxGVediPTuh2AvHAcQzwsE24Bc7vSOkHCH9N4xbniLX0kBcPsw29q,1.9541800022125244,1,100,True
36,Serial0,TX,s21Lv08OShsJzn5En5cz0NqZbEdCW5ieoCBEWBwTkHuleTUDxGVediPTuh2AvHAcQzwsE24Bc7vSOkHCH9N4xbniLX0kBcPsw29q,1.9701621532440186,1,100,
37,Serial0,RX,t32Mw19PTitKAo6Fo6dA1Or0cFeDX6jfpDCFXCxUlIvmfUVEyHWfejQUvi3BwIBdRAxtF35Cd8wTPlIDI O5ycojMY1lCdQtx3 r,2.050091028213501,1,100,True
38,Serial1,TX,t32Mw19PTitKAo6Fo6dA1Or0cFeDX6jfpDCFXCxUlIvmfUVEyHWfejQUvi3BwIBdRAxtF35Cd8wTPlIDI O5ycojMY1lCdQtx3 r,2.066074848175049,1,100,
